county,id,city_name,lat,lon
Berkeley County,1149480,Martinsburg,39.4562528,-77.9639604
Jefferson County,1149481,Charles Town,39.2891836,-77.859581
Preston County,1245076,Kingwood,39.4717557,-79.6833884
Brooke County,1910157,Wellsburg,40.2698157,-80.6126917
Hancock County,1910158,New Cumberland,40.4967329,-80.6067392
Marshall County,1910159,Moundsville,39.920425,-80.7432124
Ohio County,1910160,Wheeling,40.0639616,-80.7209149
Harrison County,1913124,Clarksburg,39.2806451,-80.3445341
Marion County,1913125,Fairmont,39.4850848,-80.1425781
Monongalia County,1913126,Morgantown,39.6296809,-79.9559437
Braxton County,1913179,Sutton,38.6641653,-80.7093066
Cabell County,1913180,Huntington,38.4192496,-82.445154
Clay County,1913182,Clay,38.4603788,-81.0851086
Fayette County,1913184,Fayetteville,38.0531294,-81.1039858
Gilmer County,1913185,Glenville,38.9342573,-80.8376033
Jackson County,1913186,Ripley,38.8189684,-81.711885
Kanawha County,1913187,Charleston,38.3505995,-81.6332812
Lewis County,1913189,Weston,39.0384274,-80.467313
Mason County,1913190,Point Pleasant,38.8445251,-82.1370889
Putnam County,1913194,Winfield,38.5331448,-81.8934676
Roane County,1913197,Spencer,38.8021446,-81.3509777
Wayne County,1913199,Wayne,38.2214748,-82.4423747
Wood County,1913201,Wood,39.2054823,-81.5185967
Greenbrier County,2535265,Lewisburg,37.8017879,-80.4456303
Mercer County,2535270,Princeton,37.366328,-81.1026607
Raleigh County,2535274,Beckley,37.7781702,-81.1881557
Summers County,2535275,Hinton,37.674008,-80.889254
