county,id,city_name,lat,lon
Natrona County,288534,Casper,42.8501191,-106.325138
Carbon County,288626,Rawlins,41.7907878,-107.239176
Johnson County,288636,Buffalo,44.3480865,-106.699287
Converse County,288640,Douglas,42.7595708,-105.382624
Campbell County,288642,Gillette,44.290635,-105.501876
Sheridan County,288660,Sheridan,44.797194,-106.956179
Platte County,289324,Wheatland,42.054424,-104.952726
Crook County,289338,Sundance,44.4064017,-104.375895
Uinta County,289347,Evanston,41.2682462,-110.963758
Albany County,1411398,Laramie,41.3116442,-105.5917876
Laramie County,1411400,Cheyenne,41.139981,-104.820246
Sweetwater County,1411402,Green River,41.5290933,-109.466473
